srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,imageUrl,imageName/Description
62,ConstructionClosure-1b190d42-41cc-4ece-8450-c7133491abc4,5e1dc8a45aed8500514e9705,wfairbank@navjoyinc.com.gwv,2020-01-14T13:56:52.722Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:46:04.614Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/88f9caea-0d6e-44bb-93de-fc2746592ee4image.jpg,Westbound / End Fines Double in Work Zone
63,ConstructionClosure-11d7b808-aa69-4b11-b1d7-06846e5a3163,5e1df4955aed8500514e9727,anazarian@navjoyinc.com.gwv,2020-01-14T17:04:21.393Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:43:21.322Z,Birch St,Perry Pkwy,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/b33c0334-b016-4fab-a1f0-3bc9051d4438image.jpg,Westbound / Road Work Ahead
63,ConstructionClosure-11d7b808-aa69-4b11-b1d7-06846e5a3163,5e1df4955aed8500514e9727,anazarian@navjoyinc.com.gwv,2020-01-14T17:04:21.393Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:43:21.322Z,Birch St,Perry Pkwy,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/413f4262-e86c-450b-a055-082cba3e6896image.jpg,Westbound / Left Lane Closed Ahead
63,ConstructionClosure-11d7b808-aa69-4b11-b1d7-06846e5a3163,5e1df4955aed8500514e9727,anazarian@navjoyinc.com.gwv,2020-01-14T17:04:21.393Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:43:21.322Z,Birch St,Perry Pkwy,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/6f7f5060-71bc-4d4d-8558-cc8084965303image.jpg,Westbound / Lane Ends Left
63,ConstructionClosure-11d7b808-aa69-4b11-b1d7-06846e5a3163,5e1df4955aed8500514e9727,anazarian@navjoyinc.com.gwv,2020-01-14T17:04:21.393Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:43:21.322Z,Birch St,Perry Pkwy,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/95b6445a-6066-439a-b60a-b74e2c47392aimage.jpg,Westbound / Start of Closure
63,ConstructionClosure-11d7b808-aa69-4b11-b1d7-06846e5a3163,5e1df4955aed8500514e9727,anazarian@navjoyinc.com.gwv,2020-01-14T17:04:21.393Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:43:21.322Z,Birch St,Perry Pkwy,Belleview Ave,,,1/14/2020 11:00,1/14/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/5a29c375-d3f5-45f0-a165-36f5bc024f01image.jpg,Westbound / End of Closure
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/6ee1abba-ca4c-4145-bb6d-bdba9f37707fimage.jpg,Westbound / Road Work Ahead
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/59fd4d84-ebfa-41c1-bf67-6624a992189aimage.jpg,Westbound / Begin Fines Double in Work Zone
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/5c185809-f681-48d8-b42d-64bc9f3171e9image.jpg,Westbound / Speed Limit 35
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/33064873-3de7-4c00-bda2-f09a3fe7dafeimage.jpg,Westbound / Left Lane Closed Ahead
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/e4b2bbc9-66e5-494f-a338-88df16ea2f22image.jpg,Westbound / Lane Ends Left
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/2cda01af-017d-4ab3-8021-ba2e258b8e13image.jpg,Westbound / Start of closure
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/11778c1e-81ce-417a-ac35-f2aa296ed095image.jpg,Westbound / Flashing Arrow Board
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/c7900c4b-6db2-4eb7-9e39-89a6d2697dbeimage.jpg,Westbound / End of closure
64,ConstructionClosure-cad354b7-37c8-4d66-aa7f-f79c0f2fa4c0,5e1f229f5aed8500514e977b,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:03.979Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:35:16.565Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/b1d2492e-3569-41b7-8b02-7bb89d55f9afimage.jpg,Westbound / End Fines Double in Work Zone
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/836cc425-a4f4-4be8-b1d6-92e72e203bc3image.jpg,Eastbound / Road Work Ahead
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/2fc9d1f2-d88d-47f1-b7f4-33c247994bdbimage.jpg,Eastbound / Left Lane Closed Ahead
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/4b3d01bf-5c43-4863-9699-269d197af49cimage.jpg,Eastbound / Road Work Ahead
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/8fe24545-55fc-4345-bbb8-ce4a4f4a1cb4image.jpg,Eastbound / Begin Fines Double in Work Zone
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/6dd2dbd0-8d8d-4cf9-9f0a-dd18f943ded8image.jpg,Eastbound / Speed Limit 35
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/0ef68218-71a7-41c2-a955-8c26055adc70image.jpg,Eastbound / Left Lane Closed Ahead
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/26d81eab-99cc-49fe-a92f-188c6a25c154image.jpg,Eastbound / Lane Ends Left
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/03ac03be-082b-4aa4-8d18-d8882f3f0319image.jpg,Eastbound / Start of Closure
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/29874fad-1f02-466f-b7a3-c2c9d696e640image.jpg,Eastbound / Flashing Arrow Board
65,ConstructionClosure-3ffcc84c-a224-474c-99af-745101da4c40,5e1f22b45aed8500514e977c,anazarian@navjoyinc.com.gwv,2020-01-15T14:33:24.325Z,anazarian@navjoyinc.com.gwv,2020-01-15T20:41:18.285Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/ec38b1a2-879d-4aea-a569-ec6f208635fdimage.jpg,Eastbound / End of Closure
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/b1537dc4-2e02-44bc-97d3-91d161ccae11image.jpg,Eastbound / Road Work Ahead
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/a0c5bf85-8fb0-47bf-9bb5-ad881ec2a4e4image.jpg,Eastbound / Left Lane Closed Ahead
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/cf7c177b-4b40-4303-acb4-9f4f4b1af7aaimage.jpg,Eastbound / Lane Ends Left
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/b9714ad8-81f0-4539-90b0-9ddf250ee03fimage.jpg,Eastbound / Start of closure
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/555191eb-cb5d-46cd-846d-e9d6e6c301b5image.jpg,Eastbound / Flashing Arrow Board
66,ConstructionClosure-5d7bf769-847b-44fc-93e0-5fe79e30c4e8,5e1f3af65aed8500514e978f,anazarian@navjoyinc.com.gwv,2020-01-15T16:16:54.548Z,anazarian@navjoyinc.com.gwv,2020-01-15T18:51:49.143Z,Birch St,Perry Pkwy,Belleview Ave,,,1/15/2020 11:00,1/15/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/dc345381-6cc1-4b3c-8cb1-9e7971b78d11image.jpg,Eastbound / End of closure
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/4d6f03ef-03b9-4226-be7a-24cb3b37581aimage.jpg,Southbound / Road work ahead
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/7d3b615a-13fc-4d36-ae66-639f134cc4d8image.jpg,Southbound / Left lane closed ahead
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/966c8971-cb71-484c-91c7-d059fdc5bb4dimage.jpg,Southbound / Start of closure
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/0c3914cf-6005-417e-8328-2185fd242333image.jpg,Eastbound / Road work ahead
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/1e1a2f75-a479-4bfc-a7d6-0c09653547e8image.jpg,Eastbound / Begin fines double in work zone
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/8a13bb50-419e-4842-b317-43b3a363ba3dimage.jpg,Eastbound / Speed Limit 35
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/a5fe113f-0a03-45e4-bb6b-16d7de4e8147image.jpg,Eastbound / Left lane closed ahead
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/33410392-dcc8-47b3-9646-623b77fa3874image.jpg,Eastbound / Lane ends left
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/ddd22a14-91cf-4c94-99b7-e20b6731ebc6image.jpg,Eastbound / Start of closure
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/e49318aa-661f-4249-8ff8-c2ac029cbc17image.jpg,Eastbound / Flashing arrow board
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/5f17efba-6c92-46ce-ac88-898990d11ed8image.jpg,Northbound / Road work ahead
67,ConstructionClosure-f3ab9d5e-087b-467d-bcf5-996d78b8fd4e,5e1f86cc5aed8500514e97c3,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:28.582Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:14:09.918Z,University Blvd,Cherry Hills Farm Dr,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/66cd5643-458a-4c4a-a706-11043f1e72f1image.jpg,Eastbound / End of closure
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/d80a0c7c-b0f5-4243-9635-5c58ccaf471aimage.jpg,Westbound / Road work ahead
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/4e83cf44-0c93-4f9c-881a-1a677b1593a8image.jpg,Westbound / Begin fines double in work zone
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/7cfa0ea9-9880-4314-b935-2eb72e0bedc0image.jpg,Westbound / Speed Limit 35
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/99475710-881f-42cb-bc7e-e7843ddbf0cdimage.jpg,Westbound / Left lane closed ahead
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/eddf72b8-4544-4903-b27c-a504d596aa7fimage.jpg,Westbound / Lane ends left
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/81eed320-44e2-4d09-9d1a-bf0fc9817cfcimage.jpg,Westbound / Road work ahead
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/c1169cf6-9022-46b0-9955-54f41318e0daimage.jpg,Westbound / Start of closure
68,ConstructionClosure-abc515ba-be85-4b94-b7e3-e301918e170f,5e1f86d85aed8500514e97c4,anazarian@navjoyinc.com.gwv,2020-01-15T21:40:40.534Z,jpruitt@navjoyinc.com.gwv,2020-01-17T17:15:04.848Z,Cherry Hills Farm Dr,University Blvd,Belleview Ave,,,1/16/2020 11:00,1/16/2020 17:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/camera/55d2296f-de63-4156-952c-0cb120be4d2aimage.jpg,Westbound / Flashing arrow board
